name,code_name,overridenametextid,nameprefixid,overridepartnerskilltextid,tribe,bpclass,pictorial_id,size,rarity,element_1,element_2,genuscategory,hp,melee_attack,remote_attack,defense,support,craftspeed,(being)_damage_multiplier,capture_probability,experience_multiplier,price,airresponse,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,handling_speed,isboss,istowerboss,battlebgm,ignoreleanback,ignoreblowaway,maxfullstomach,fullstomachdecreaserate,foodamount,viewingdistance,viewingangle,hearingrate,noosetrap,nocturnal,biologicalgrade,predator,edible,endurance,male_probability,fecundity,breathing_fire,watering,planting,generate_electricity,manual,collection,logging,mining,oilextraction_(not_shown_in_game),pharmaceutical,cool_down,carry,pasture,passive_skill_1,passive_skill_2
SakuraSaurus_Water,BOSS_SakuraSaurus_Water,PAL_NAME_SakuraSaurus_Water,BOSS_NAME_SakuraSaurus_Water,PARTNERSKILL_SakuraSaurus_Water,EPalTribeID::SakuraSaurus_Water,BOSS_SakuraSaurus_Water,-1,XL,8,Leaf,Water,EPalGenusCategoryType::FourLegged,120,80,95,100,120,100,20%,70%,10,3110,NotInterested,50,75,350,600,200,True,False,EPalBattleBGMType::FieldBoss,False,False,475,1,7,25,90,1,False,False,9,False,True,100,50,840,0,3,0,0,0,0,0,0,0,0,0,0,0,,
Anubis,Boss_Anubis,PAL_NAME_Anubis,BOSS_NAME_Anubis,PARTNERSKILL_Anubis,EPalTribeID::Anubis,Boss_Anubis,-1,XL,10,Earth,,EPalGenusCategoryType::Humanoid,120,130,130,100,100,100,20%,70%,10,9190,Boss,80,160,800,1000,480,True,False,EPalBattleBGMType::FieldBoss,False,False,400,1,6,25,90,1,False,False,9,True,True,100,50,570,0,0,0,0,4,0,0,3,0,0,0,2,0,ElementBoost_Earth_2_PAL,
ThunderDragonMan,GYM_ThunderDragonMan,PAL_NAME_VolcanoBoss,GYM_NAME_Volcano,PARTNERSKILL_hunderDragonMan,EPalTribeID::ThunderDragonMan,GYM_ThunderDragonMan,-2,XL,9,Dragon,Electricity,EPalGenusCategoryType::Humanoid,6500,100,140,110,100,100,100%,100%,30,8320,Warlike,100,185,900,1300,542,True,True,EPalBattleBGMType::TowerBoss,True,True,475,1,7,25,90,1,False,False,9,False,True,100,100,9999,0,0,0,3,2,0,0,0,0,0,0,3,0,,
IceFox,BOSS_IceFox,PAL_NAME_IceFox,BOSS_NAME_IceFox,PARTNERSKILL_IceFox,EPalTribeID::IceFox,BOSS_IceFox,-1,XL,5,Ice,,EPalGenusCategoryType::FourLegged,90,100,95,105,100,100,20%,70%,10,3730,NotInterested,65,130,600,750,315,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1,3,25,90,1,False,False,9,False,True,100,50,760,0,0,0,0,0,0,0,0,0,0,2,0,0,,
AmaterasuWolf,BOSS_AmaterasuWolf,PAL_NAME_AmaterasuWolf,BOSS_NAME_AmaterasuWolf,PARTNERSKILL_AmaterasuWolf,EPalTribeID::AmaterasuWolf,BOSS_AmaterasuWolf,-1,XL,6,Fire,,EPalGenusCategoryType::FourLegged,100,70,115,100,110,100,20%,70%,10,3170,Boss,80,130,700,1000,415,True,False,EPalBattleBGMType::FieldBoss,False,False,300,1,4,25,90,1,False,False,9,True,True,100,50,830,2,0,0,0,0,0,0,0,0,0,0,0,0,,
CowPal,BOSS_CowPal,PAL_NAME_CowPal,BOSS_NAME_CowPal,PARTNERSKILL_CowPal,EPalTribeID::CowPal,BOSS_CowPal,-1,M,2,Normal,,EPalGenusCategoryType::FourLegged,90,100,50,80,100,100,20%,70%,10,2620,NotInterested,55,55,580,700,317,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1,3,25,90,1,False,False,9,False,True,100,20,910,0,0,0,0,0,0,0,0,0,0,0,0,1,,
CatBat,BOSS_CatBat,PAL_NAME_CatBat,BOSS_NAME_CatBat,PARTNERSKILL_CatBat,EPalTribeID::CatBat,BOSS_CatBat,-1,XL,5,Dark,,EPalGenusCategoryType::Humanoid,95,100,95,80,100,100,40%,70%,10,3810,Boss,80,140,400,550,270,True,False,EPalBattleBGMType::FieldBoss,False,False,350,1,5,25,90,1,False,True,9,False,True,100,50,750,0,0,0,0,0,2,0,2,0,0,0,2,0,,
CatMage,BOSS_CatMage,PAL_NAME_CatMage,BOSS_NAME_CatMage,PARTNERSKILL_CatMage,EPalTribeID::CatMage,BOSS_CatMage,-1,XL,6,Dark,,EPalGenusCategoryType::Humanoid,90,100,105,90,100,100,20%,70%,10,4120,Boss,70,145,440,620,292,True,False,EPalBattleBGMType::FieldBoss,False,False,350,1,5,25,90,1,False,True,9,False,True,100,50,700,0,0,0,0,2,0,0,0,0,2,0,2,0,,
BadCatgirl,BadCatgirl,,,,EPalTribeID::BadCatgirl,BadCatgirl,-1,XL,0,Dark,,EPalGenusCategoryType::Humanoid,100,100,90,90,100,100,100%,100%,1,4690,Warlike,-1,-1,-1,-1,-1,False,False,EPalBattleBGMType::Cute,False,False,225,1,3,25,90,1,False,True,0,False,True,100,50,0,0,0,0,0,2,3,1,0,0,0,0,2,0,,
BlueberryFairy,BlueberryFairy,,,,EPalTribeID::BlueberryFairy,BlueberryFairy,-1,XL,0,Leaf,Dark,EPalGenusCategoryType::Humanoid,100,100,100,100,100,100,100%,100%,1,8200,Escape_to_Battle,-1,-1,-1,-1,-1,False,False,EPalBattleBGMType::Cute,False,False,225,1,3,25,90,1,False,False,0,False,True,100,50,0,0,0,2,0,1,2,0,0,0,3,0,1,0,,
